id,datum_zahajeni,omezeni_dodavky,nahradni_zasobovani,obec,ulice,datum_ukonceni,poznamka,longitude,latitude,ObjectId,GlobalID,x,y
PU_PU_OM.30184336,31.01.2026 12:26,Ano,cisterna,Brno,Podstránská,31.01.2026 19:00,Cisterna: Podstránská 110,16.66897268,49.18866126,82,e4b9897b-ad0a-473b-8cc1-06580aca8467,1855581.55078459,6306934.10289027
PU_PU_OM.30184336,31.01.2026 12:26,Ano,cisterna,Brno,Podstránská,31.01.2026 19:00,Cisterna: Podstránská 110,16.66900435,49.18868703,83,0597b2d7-12e9-4418-b437-9e22e42e79fd,1855585.07627286,6306938.4921711
PU_PU_OM.30184336,31.01.2026 12:26,Ano,cisterna,Brno,Podstránská,31.01.2026 19:00,Cisterna: Podstránská 110,16.6690721,49.18877434,84,bd919eed-8a59-423a-9b2e-99ee79b01395,1855592.61816836,6306953.36328275
PU_PU_OM.30184336,31.01.2026 12:26,Ano,cisterna,Brno,Podstránská,31.01.2026 19:00,Cisterna: Podstránská 110,16.66910937,49.18879699,85,75f8734d-8319-4596-aa73-ac3c88018a80,1855596.76704579,6306957.2211576
PU_PU_OM.30184336,31.01.2026 12:26,Ano,cisterna,Brno,Podstránská,31.01.2026 19:00,Cisterna: Podstránská 110,16.66917869,49.18883886,86,b77de6e2-b5d3-4b06-b6ae-469d7d23a58c,1855604.48371289,6306964.35269514
PU_PU_OM.30184336,31.01.2026 12:26,Ano,cisterna,Brno,Podstránská,31.01.2026 19:00,Cisterna: Podstránská 110,16.66924156,49.18888947,87,4758bffe-056b-4708-8791-eacfe6029579,1855611.48236927,6306972.97288746
PU_PU_OM.30184336,31.01.2026 12:26,Ano,cisterna,Brno,Podstránská,31.01.2026 19:00,Cisterna: Podstránská 110,16.66934373,49.18895718,88,096b9b39-0cab-44c9-97c3-16790f5a2d99,1855622.85588165,6306984.50566596
PU_PU_OM.30184336,31.01.2026 12:26,Ano,cisterna,Brno,Podstránská,31.01.2026 19:00,Cisterna: Podstránská 110,16.6694329,49.18899455,89,d51b051e-f818-4792-9a83-d1298502165f,1855632.78224064,6306990.87075811
PU_PU_OM.30184336,31.01.2026 12:26,Ano,cisterna,Brno,Podstránská,31.01.2026 19:00,Cisterna: Podstránská 110,16.66948651,49.18903312,90,9ca101b2-3f80-48d2-80d3-404cf990b8c2,1855638.75007854,6306997.44024682
PU_PU_OM.30184336,31.01.2026 12:26,Ano,cisterna,Brno,Podstránská,31.01.2026 19:00,Cisterna: Podstránská 110,16.6695656,49.1890875,91,b2e5c021-2889-4364-aa66-0ab166d49f1c,1855647.55433707,6307006.70260439
PU_PU_OM.30184336,31.01.2026 12:26,Ano,cisterna,Brno,Podstránská,31.01.2026 19:00,Cisterna: Podstránská 110,16.67007255,49.18948664,92,d4c44c7f-6989-4095-accb-25d1a82dd275,1855703.98775293,6307074.68705354
